CustomerID,Signup_Date,Churn_Date,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,TechSupport,StreamingTV,SeniorCitizen,Churn
CUST00001,8/2/2022,12/19/2024,29,68.9,1998.1,Month-to-month,Mailed Check,Fiber optic,No,Yes,0,1
CUST00002,8/17/2019,,30,76.8,4608,Month-to-month,Credit Card,No service,No,Yes,0,0
CUST00003,2/21/2019,11/12/2020,21,23.11,485.31,Two year,Electronic Check,Fiber optic,Yes,No,1,1
CUST00004,2/27/2023,,27,75.04,2701.44,Two year,Credit Card,No service,No,No,0,0
CUST00005,7/17/2020,,8,69.07,3591.64,Month-to-month,Electronic Check,DSL,Yes,No,1,0
CUST00006,5/16/2020,,35,70.48,3876.4,Month-to-month,Electronic Check,DSL,No,Yes,0,0
CUST00007,4/2/2020,,23,38.78,1124.62,One year,Credit Card,DSL,No,Yes,0,0
CUST00008,10/13/2019,,50,47.9,2586.6,Month-to-month,Mailed Check,DSL,No,No,1,0
CUST00009,2/17/2023,,14,62.44,1186.36,One year,Mailed Check,DSL,Yes,No,0,0
CUST00010,7/29/2019,12/15/2021,29,96.35,2794.15,Month-to-month,Credit Card,Fiber optic,No,No,0,1
CUST00011,10/17/2022,,20,90.23,1985.06,Month-to-month,Electronic Check,DSL,No,No,0,0
CUST00012,2/25/2023,8/13/2025,30,87.26,2617.8,Month-to-month,Electronic Check,Fiber optic,Yes,No,1,1
CUST00013,1/21/2022,6/15/2023,17,90,1530,One year,Credit Card,Fiber optic,Yes,Yes,0,1
CUST00014,6/28/2019,,55,73.44,4186.08,Month-to-month,PayPal,Fiber optic,No,Yes,0,0
CUST00015,4/24/2022,,8,59.22,1125.18,Month-to-month,Credit Card,Fiber optic,No,Yes,0,0
CUST00016,5/14/2021,11/10/2021,6,70.4,422.4,Month-to-month,Credit Card,No service,No,Yes,0,1
CUST00017,3/7/2019,,11,67.83,2713.2,Month-to-month,Credit Card,DSL,No,No,0,0
CUST00018,3/3/2019,6/10/2023,52,63.47,3300.44,Month-to-month,Electronic Check,Fiber optic,Yes,No,1,1
CUST00019,7/11/2019,2/20/2023,44,43.63,1919.72,Month-to-month,Electronic Check,Fiber optic,No,Yes,0,1
CUST00020,3/23/2020,,20,37.51,1650.44,Month-to-month,Electronic Check,DSL,No,Yes,1,0
CUST00021,4/21/2020,8/28/2024,53,97.03,5142.59,One year,Mailed Check,DSL,No,Yes,0,1
CUST00022,10/31/2021,,46,91.75,5046.25,Month-to-month,Electronic Check,Fiber optic,No,No,0,0
CUST00023,5/17/2022,,45,81.11,3893.28,Two year,PayPal,DSL,Yes,Yes,1,0
CUST00024,2/24/2019,5/9/2022,39,53.57,2089.23,One year,PayPal,Fiber optic,Yes,No,1,1
CUST00025,2/23/2022,,3,55.77,2621.19,Month-to-month,Credit Card,Fiber optic,No,No,1,0
CUST00026,2/12/2020,,14,39.79,2029.29,Two year,Credit Card,DSL,No,Yes,0,0
CUST00027,1/6/2023,,54,53.99,3131.42,Month-to-month,Credit Card,Fiber optic,No,Yes,0,0
CUST00028,8/23/2022,2/28/2027,55,34.1,1875.5,Month-to-month,Credit Card,Fiber optic,Yes,No,1,1
CUST00029,12/7/2022,,21,96.51,4922.01,One year,Credit Card,DSL,No,Yes,0,0
CUST00030,1/21/2022,11/17/2022,10,72.85,728.5,One year,Electronic Check,Fiber optic,No,No,0,1
CUST00031,5/9/2021,11/5/2021,6,47.81,286.86,Month-to-month,Mailed Check,DSL,Yes,No,1,1
CUST00032,3/27/2020,1/6/2024,46,51.85,2385.1,Two year,PayPal,DSL,Yes,Yes,0,1
CUST00033,7/8/2021,,16,30.24,1542.24,Month-to-month,Credit Card,DSL,Yes,No,0,0
CUST00034,4/21/2022,,23,90.57,2354.82,One year,PayPal,DSL,No,Yes,0,0
CUST00035,7/23/2020,9/11/2022,26,87.21,2267.46,Month-to-month,Electronic Check,DSL,No,Yes,0,1
CUST00036,7/16/2023,,33,89.12,4634.24,One year,Electronic Check,DSL,No,No,0,0
CUST00037,11/16/2023,,4,68.08,3404,Month-to-month,Mailed Check,Fiber optic,No,Yes,0,0
CUST00038,1/14/2019,8/26/2022,44,74.98,3299.12,Month-to-month,PayPal,Fiber optic,No,Yes,0,1
CUST00039,4/4/2023,11/24/2024,20,22.32,446.4,Two year,Mailed Check,Fiber optic,No,Yes,0,1
CUST00040,7/9/2023,,17,41.43,1035.75,Two year,PayPal,DSL,Yes,Yes,0,0
CUST00041,11/23/2019,3/31/2024,53,37.21,1972.13,One year,Credit Card,DSL,No,No,0,1
CUST00042,11/30/2022,,12,88.08,5284.8,One year,Mailed Check,DSL,Yes,Yes,0,0
CUST00043,5/15/2021,,2,52.72,1687.04,Month-to-month,Mailed Check,Fiber optic,No,No,1,0
CUST00044,11/27/2020,1/16/2023,26,64.98,1689.48,Month-to-month,Mailed Check,Fiber optic,No,No,0,1
CUST00045,7/23/2020,,55,45.86,2522.3,Month-to-month,Credit Card,DSL,No,No,0,0
CUST00046,11/15/2019,,29,74,3404,Month-to-month,PayPal,Fiber optic,No,No,1,0
CUST00047,3/16/2020,,36,52.9,2486.3,One year,Electronic Check,DSL,No,No,0,0
CUST00048,4/13/2023,,48,84.72,4236,Two year,Electronic Check,Fiber optic,No,No,1,0
CUST00049,11/20/2020,,36,54.02,2322.86,Month-to-month,Credit Card,DSL,Yes,No,0,0
CUST00050,7/29/2019,,16,40.86,1961.28,Month-to-month,Mailed Check,Fiber optic,No,Yes,1,0
CUST00051,7/9/2019,2/4/2020,7,24.37,170.59,Month-to-month,Mailed Check,Fiber optic,No,No,0,1
CUST00052,2/17/2021,8/6/2023,30,58.84,1765.2,Month-to-month,Electronic Check,Fiber optic,Yes,No,0,1
CUST00053,7/18/2019,,7,37.52,1500.8,Two year,Electronic Check,DSL,No,Yes,1,0
CUST00054,1/5/2021,,52,70.9,4254,One year,Electronic Check,Fiber optic,Yes,Yes,0,0
CUST00055,10/2/2023,,51,23.65,1324.4,One year,Credit Card,DSL,No,No,0,0
CUST00056,12/5/2020,9/1/2021,9,55.81,502.29,Two year,PayPal,Fiber optic,Yes,Yes,1,1
CUST00057,5/21/2022,,8,37.7,1244.1,One year,PayPal,DSL,No,No,1,0
CUST00058,6/25/2020,,1,90.05,990.55,Month-to-month,PayPal,Fiber optic,Yes,No,0,0
CUST00059,7/11/2023,,4,62.88,3772.8,One year,Credit Card,Fiber optic,Yes,Yes,1,0
CUST00060,3/30/2019,,54,82.36,4529.8,Two year,Mailed Check,Fiber optic,No,No,1,0
CUST00061,2/3/2023,3/14/2027,50,28.83,1441.5,One year,Mailed Check,Fiber optic,No,Yes,0,1
CUST00062,7/29/2021,,15,97.46,3508.56,Month-to-month,PayPal,No service,No,No,1,0
CUST00063,1/3/2022,,9,68.86,3029.84,Month-to-month,Mailed Check,No service,No,Yes,1,0
CUST00064,9/13/2019,,13,30.34,1213.6,Month-to-month,PayPal,DSL,No,No,1,0
CUST00065,2/14/2021,,53,63.18,3727.62,Month-to-month,Mailed Check,No service,Yes,No,1,0
CUST00066,6/11/2019,,26,96.02,2784.58,Two year,Electronic Check,Fiber optic,No,Yes,1,0
